Year,Make,Model,Trim,Drivetrain,Segment,Certified,Certified Program,Stock Number,VIN,Risk Light,Photo Count,Key Photo,DMS Status,Key Information,Lot Location,Age,Leads (last 7 days),Leads (Daily Avg Last 7 Days),Leads (Since Last Reprice),Leads (All),Mileage,Objective,Color,Price,Last Reprice,MSRP,Unit Cost,Est. Profit,ACV Wholesale,ACV MAX Retail,% to Market,Cost to Market,Market Rank (Matching),Market Listings (Matching),Market Rank (Overall),Market Listings (Overall),MDS (Overall),MDS (Matching),Proof point: Market,Proof point: MSRP,Syndication,CarGurus CTR,CarGurus SRP Views,CarGurus VDP Views,Book value: MMR,MMR - Cost,Book value: Galves,Water,Proof point: J.D. Power,Proof point: KBB
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35476,5UX53GP06T9144162,Green,11,https://cdn.max.auto/102612/5UX53GP06T9144162/6896851a0ae536709511b2ab.jpg,S,,"",66,1,0.1,0,5,3,Retail,Blue,"$57,340.00","","$57,340.00","$54,302.00","$3,038.00","","",100%,94%,216,439,216,477,180,201,$217.00 below,$0.00 below,On,0.0%,0,0,"","","","","",""
2022,BMW,5 Series,540i xDrive,AWD,Sedan,No,"",B35397A,WBA73BJ01NWX80043,Green,20,https://cdn.max.auto/102612/WBA73BJ01NWX80043/689e2477425f7fc86c5cc966.jpg,S,Oil Change|BMW CPO,"",68,0,0,0,2,"43,048",Retail,Black,"$43,998.00",2025-10-06T09:13:00.000Z,"","$44,747.72",-$749.72,"$35,500.00","$41,425.00","","","","","","","","","","",On,2.6%,"4,122",107,"$36,600.00","-$8,147.72","$36,050.00","-$8,697.72","$3,227.00 below","$2,335.00 above"
2025,BMW,X1,xDrive28i,AWD,SUV,No,"",B35447,WBX73EF01S5382803,Green,11,https://cdn.max.auto/102612/WBX73EF01S5382803/68978d0e0ae5367095d2e7b2.jpg,S,,"",66,0,0,0,2,6,Retail,Silver,"$46,945.00","","$46,945.00","$44,637.00","$2,308.00","","",102%,97%,39,79,58,104,34,46,$779.00 above,$0.00 below,On,14.0%,50,7,"","","","","",""
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35467,5UX53GP04T9144015,Green,13,https://cdn.max.auto/102612/5UX53GP04T9144015/689a28e20ae5367095737f02.jpg,S,,"",66,0,0,0,2,7,Retail,Gray,"$57,340.00","","$57,340.00","$54,302.00","$3,038.00","","",100%,94%,216,439,216,477,180,201,$217.00 below,$0.00 below,On,0.0%,0,0,"","","","","",""
2025,BMW,X6 M,,AWD,SUV,Yes,BMW Certified Pre-Owned (CPOV),BN28879,5YM23ET04S9Z14671,Yellow,20,https://cdn.max.auto/102612/5YM23ET04S9Z14671/689a488d0ae536709502820c.jpg,S,Oil Change|BMW CPO,"",66,0,0,0,9,"5,283",Retail,Black,"$126,998.00",2025-10-07T05:45:00.000Z,"","$122,651.10","$4,346.90","$123,375.00","",101%,97%,7,11,21,37,71,45,$761.00 above,"",On,3.5%,"50,878","1,799","$117,000.00","-$5,651.10","$107,800.00","-$14,851.10","$9,452.00 below",$211.00 below
2026,BMW,iX,xDrive45,AWD,SUV,No,"",B35487,WB543CF07TCV91086,Green,11,https://cdn.max.auto/102612/WB543CF07TCV91086/68978d0e0ae5367095d2e0ea.jpg,S,,"",62,0,0,0,3,9,Retail,White,"$86,920.00","","$86,920.00","$81,812.00","$5,108.00","","",101%,95%,10,14,10,23,26,21,"$1,049.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X5,xDrive40i,AWD,SUV,No,"",B35492,5UX23EU09T9148900,Green,13,https://cdn.max.auto/102612/5UX23EU09T9148900/689cd68a425f7fc86c324276.jpg,S,,"",62,0,0,0,8,5,Retail,Black,"$77,625.00","","$77,625.00","$73,162.00","$4,463.00","","",99%,93%,68,174,94,347,53,62,"$1,162.00 below",$0.00 below,On,2.9%,171,5,"","","","","",""
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35479,5UX53GP01T9144019,Green,13,https://cdn.max.auto/102612/5UX53GP01T9144019/689d040d425f7fc86c2892e9.jpg,S,,"",62,0,0,0,3,5,Retail,White,"$57,340.00","","$57,340.00","$54,297.00","$3,043.00","","",100%,94%,176,352,216,477,180,258,$264.00 below,$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35481,5UX53GP03T9144183,Green,12,https://cdn.max.auto/102612/5UX53GP03T9144183/689e0866425f7fc86c08c8b9.jpg,S,,"",62,0,0,0,1,4,Retail,Black,"$63,740.00","","$63,740.00","$60,252.00","$3,488.00","","",111%,105%,349,352,435,477,180,258,"$6,136.00 above",$0.00 below,On,14.5%,481,70,"","","","","",""
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35478,5UX53GP09T9144138,Green,13,https://cdn.max.auto/102612/5UX53GP09T9144138/689d0414425f7fc86c28b0ea.jpg,S,,"",62,0,0,0,3,8,Retail,White,"$54,640.00","","$54,640.00","$51,787.00","$2,853.00","","",95%,90%,46,352,57,477,180,258,"$2,964.00 below",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,XM,Label,AWD,SUV,No,"",B35489,5YM33CS05T9144606,Yellow,9,https://cdn.max.auto/102612/5YM33CS05T9144606/68a4f09e8c600ad0fd32e9ab.jpg,S,,"",62,0,0,0,9,9,Retail,Black,"$160,775.00","","$160,775.00","$150,645.70","$10,129.30","","",100%,93%,1,46,1,46,153,153,$433.00 below,$0.00 below,On,13.9%,"4,518",627,"","","","","",""
2017,BMW,X1,xDrive28i,AWD,SUV,No,"",B35379A,WBXHT3C33H5F82388,Red,20,https://cdn.max.auto/102612/WBXHT3C33H5F82388/689fa378425f7fc86cacc0b7.jpg,S,Oil Change,"",61,0,0,0,3,"63,349",Wholesale,Gray,$0.00,2025-08-20T12:29:00.000Z,"","$12,481.49","","$11,325.00","$15,600.00","","",0,7,0,220,36,57,"","",On,0.0%,0,0,"$11,950.00",-$531.49,"$10,825.00","-$1,656.49","",""
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35518,5UX53GP05T9153824,Green,12,https://cdn.max.auto/102612/5UX53GP05T9153824/68a3b0e58c600ad0fd7c0d80.jpg,S,,"",56,0,0,0,0,4,Retail,Gray,"$57,940.00","","$57,940.00","$54,862.00","$3,078.00","","",101%,95%,213,352,260,477,180,258,$336.00 above,$0.00 below,On,20.0%,20,4,"","","","","",""
2026,BMW,X3,30 xDrive,AWD,SUV,No,"",B35517,5UX53GP07T9153758,Green,13,https://cdn.max.auto/102612/5UX53GP07T9153758/68a757d78c600ad0fd2f2115.jpg,S,,"",56,0,0,0,2,4,Retail,Blue,"$61,040.00","","$61,040.00","$57,742.00","$3,298.00","","",106%,100%,316,352,397,477,180,258,"$3,436.00 above",$0.00 below,On,0.0%,0,0,"","","","","",""
2026,BMW,X5 M,Competition,AWD,SUV,No,"",B35520,5YM13ET04T9148177,Green,12,https://cdn.max.auto/102612/5YM13ET04T9148177/68a790158c600ad0fd04529e.jpg,S,,"",56,0,0,0,4,14,Retail,"","$152,315.00","","$152,315.00","$142,532.00","$9,783.00","","",106%,100%,8,8,8,8,65,65,"$9,229.00 above",$0.00 below,On,13.3%,"11,023","1,469","","","","","",""
2026,BMW,X2,xDrive28i,AWD,SUV,No,"",B35522,WBX63GM00T5416838,Green,11,https://cdn.max.auto/102612/WBX63GM00T5416838/68a650168c600ad0fdafee71.jpg,S,,"",56,0,0,0,1,6,Retail,White,"$48,420.00","","$48,420.00","$46,012.00","$2,408.00","","",96%,92%,4,13,4,14,63,65,"$1,762.00 below",$0.00 below,On,7.6%,"2,866",217,"","","","","",""
